From Date,To Date,AT,BP,NO,NO2,NOx,Ozone,PM10,RH,SO2,SR,PM2.5
27-02-2017 00:00,27-02-2017 08:00,10.99,736.49,29.34,74.89,106.76,3.21,244.21,62.7,31.38,7.38,111.07
27-02-2017 08:00,27-02-2017 16:00,24.66,733.69,6.66,39.34,44.14,180.3,280.27,24.97,24.21,347.25,57.4
27-02-2017 16:00,28-02-2017 00:00,18.59,735.3,152.49,92.72,290.84,47.01,320.79,43.28,39.35,17.54,109.4
28-02-2017 00:00,28-02-2017 08:00,11.25,736.31,278.63,75.07,447.37,8.46,338.42,74.56,28.7,8.25,136.79
28-02-2017 08:00,28-02-2017 16:00,17.65, ,111.48,112.84,252.7,29.76,424.15,34.36,18.8,214.06,187.33
28-02-2017 16:00,01-03-2017 00:00,18.84, ,244.64,138.18,457.2,42.55,501.68,44.47,44.65,9.53,193.7
01-03-2017 00:00,01-03-2017 08:00,16.64,735.97,190.81,100.01,349.68,7.06,419.94,59.71,25.64,7.99,181.64
01-03-2017 08:00,01-03-2017 16:00,25.65,734.07,15.6,54.54,69.87,106.79,295.67,31.73,21.79,287.09,87.94
01-03-2017 16:00,02-03-2017 00:00,21.28,734.98,99.53,95.76,221.21,40.91,325.09,48.36,38.35,18.89,134.2
02-03-2017 00:00,02-03-2017 08:00,15.77,735.53,43.51,58.78,111.8,11.64,251.45,68.57,26.95,8.43,105.88
02-03-2017 08:00,02-03-2017 16:00,21.59,733.97,41.13,81.07,128.37,26.31,380.33,50.1,21.51,208.88,155.39
02-03-2017 16:00,03-03-2017 00:00,19.3,735.42,14.88,82.32,93.66,5.96,262.86,50.93,32.9,7.57,95.92
03-03-2017 00:00,03-03-2017 08:00,13.29,736.11,24.74,56.15,83.79,26.44,190.42,59.39,29.78,7.46,64.03
03-03-2017 08:00,03-03-2017 16:00,24.25,733.52,13.02,36.57,50.34,128.55,236.93,23.96,22.65,317.51,59.66
03-03-2017 16:00,04-03-2017 00:00,18.13,735.75,22.25,68.16,91.13,42.58,232.78,44.51,32.37,19.75,84.26
04-03-2017 00:00,04-03-2017 08:00,11.8,736.47,20.48,62.34,83.53,8.09,222.23,61.44,27.27,7.75,98.45
04-03-2017 08:00,04-03-2017 16:00,22.14,733.74,5.52,29.44,33.78,158.71,250.01,29.46,23.18,351.75,94.87
04-03-2017 16:00,05-03-2017 00:00,17.66,735.65,19.68,65.5,85.24,65.74,223.94,38.39,33.69,17.46,74.53
05-03-2017 00:00,05-03-2017 08:00,11.15,736.42,11.21,68.88,76.67,11.81,283.96,59.61,38.39,8.16,141.95
05-03-2017 08:00,05-03-2017 16:00,22.59,733.53,2.48,23.5,24.32,166.5,256.9,27.28,23.6,356.45,64.96
05-03-2017 16:00,06-03-2017 00:00,18.64,735.46,11.9,52.19,62.74,66.57,206.21,33.36,33.54,17.44,66.82
06-03-2017 00:00,06-03-2017 08:00,11.45,736.41,5.5,49.96,52.01,20.75,250.93,53.14,42.9,8.26,118.48
06-03-2017 08:00,06-03-2017 16:00,23.31,733.97,2.96,23.54,25.02,187.31,252.78,24.62,27.29,349.19,66.32
06-03-2017 16:00,07-03-2017 00:00,19.27,735.3,23.12,69.03,93.09,54.55,230.4,35.65,33.97,19.55,78.07
07-03-2017 00:00,07-03-2017 08:00,11.63,736.31,94.05,60.76,182.57,6.9,265.39,65.02,36.92,8.99,111.71
07-03-2017 08:00,07-03-2017 16:00,26.07,733.44,4.8,38.62,40.98,178.81,273.89,21.5,33.94,321.56,119.53
07-03-2017 16:00,08-03-2017 00:00,20.47,735.18,95.89,87.65,209,57.72,326.18,39.99,43.04,20.48,119.32
08-03-2017 00:00,08-03-2017 08:00,17.07,735.95,4.58,45.75,46.99,60.38,231.04,43.5,31.86,6.45,79.48
08-03-2017 08:00,08-03-2017 16:00,22.51,734.25,6.53,40.76,45.25,90.08,195.28,37.88,24.69,289.66,33.89
08-03-2017 16:00,09-03-2017 00:00,19.59,735.42,24.51,63.95,90.46,30.32,249.41,47.85,38.38,19.4,94.59
09-03-2017 00:00,09-03-2017 08:00,13.7,736.01,17.98,40.87,60.96,26.69,154.44,72.09,29.68,9.85,52.06
09-03-2017 08:00,09-03-2017 16:00,22.46,733.77,5.33,31.54,35.38,28.35,188.46,41.89,22.48,282.6,50.52
09-03-2017 16:00,10-03-2017 00:00,15.45,735.97,17.42,58.28,75.68, ,163.7,60.79,28.93,23.66,65.07
10-03-2017 00:00,10-03-2017 08:00,12.79,736.01,2.62,29.68,30.01, ,120.5,72.58,28.3,9.03,34.64
10-03-2017 08:00,10-03-2017 16:00,20.27,733.87,5.95,26.5,31.76, ,144.25,52.58,24.77,277.53,38.4
10-03-2017 16:00,11-03-2017 00:00,13.26,736,2.66,38.4,37.83, ,120.02,58.01,26.21,20.57,39.16
11-03-2017 00:00,11-03-2017 08:00,9.26,736.42,3.48,23.84,25.92, ,98.2,75.79,24.64,11.1,23.35
11-03-2017 08:00,11-03-2017 16:00,18.63,735.32,4.46,24.86,28.22,158.4,118.97,45.27,31.71,297.33,41.62
11-03-2017 16:00,12-03-2017 00:00,15.57,735.68,23.6,36.38,64.65,57.62,182.7,42.75,29.25,24.92,51.19
12-03-2017 00:00,12-03-2017 08:00,9.21,736.47,26.99,28.52,62.27,30.07,166.22,75.72,28.75,11.79,60.92
